Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,232.0,234.16000366210938,229.44000244140625,233.55999755859375,231.04917907714844,921300.0
2021-05-04,233.9600067138672,236.6999969482422,233.1199951171875,235.97999572753906,233.44317626953125,1146500.0
2021-05-05,236.3000030517578,237.13999938964844,234.38999938964844,235.66000366210938,233.12661743164062,1091100.0
2021-05-06,236.64999389648438,237.50999450683594,235.24000549316406,237.05999755859375,234.5115509033203,801300.0
2021-05-07,235.99000549316406,239.14999389648438,235.00999450683594,238.27999877929688,235.71844482421875,808000.0
2021-05-10,240.0,242.07000732421875,238.50999450683594,239.05999755859375,236.49005126953125,948400.0
2021-05-11,238.36000061035156,238.42999267578125,233.9199981689453,236.3699951171875,233.8289794921875,980500.0
2021-05-12,236.3300018310547,236.64999389648438,231.77000427246094,231.7899932861328,229.29820251464844,1157800.0
2021-05-13,232.22000122070312,238.9600067138672,231.92999267578125,237.9499969482422,235.39198303222656,884800.0
2021-05-14,238.5399932861328,240.39999389648438,237.94000244140625,238.5,235.93606567382812,821500.0
2021-05-17,237.57000732421875,238.25,235.27999877929688,237.5500030517578,234.9962921142578,679800.0
2021-05-18,236.83999633789062,237.33999633789062,232.58999633789062,232.69000244140625,230.18853759765625,1022500.0
2021-05-19,230.0,232.3300018310547,228.8800048828125,232.22999572753906,229.7334747314453,954000.0
2021-05-20,232.61000061035156,233.85000610351562,231.55999755859375,232.0399932861328,229.54551696777344,760100.0
2021-05-21,233.25,235.1699981689453,230.3800048828125,231.99000549316406,229.49607849121094,1473600.0
2021-05-24,233.25999450683594,233.25999450683594,231.10000610351562,232.07000732421875,229.57521057128906,977900.0
2021-05-25,232.3300018310547,233.6999969482422,231.5500030517578,232.57000732421875,230.06983947753906,816300.0
2021-05-26,228.41000366210938,230.5500030517578,227.35000610351562,230.02000427246094,227.5472412109375,1147900.0
2021-05-27,232.33999633789062,232.42999267578125,230.1999969482422,230.8000030517578,228.31884765625,1050500.0
2021-05-28,231.24000549316406,232.5,230.6699981689453,231.75999450683594,229.26852416992188,701000.0
